시군명,사업장명,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,폐업일자,소재지시설전화번호,소재지면적정보,도로명우편번호,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도,업태구분명정보,X좌표값,Y좌표값,축산업무구분명,축산고유번호,권리주체일련번호
가평군,청평동물병원,20120329,,0000,정상,,585-7573,59.82,12452,경기도 가평군 청평면 청평중앙로 55-1,경기도 가평군 청평면 청평리 465-25 ,12452,37.7384399692,127.4204501612,,236987.668990474    ,470746.353149921    ,동물병원,0,000
가평군,현대가축병원,19790810,,0000,정상,,,0,12418,"경기도 가평군 가평읍 연인2길 19, 현대동물병원",경기도 가평군 가평읍 읍내리 489-14번지 현대동물병원 ,12418,37.8295690,127.5111914,,244940.631847259    ,480910.046126073    ,동물병원,,000
가평군,선진가축병원(산업동물출장진료전문병원),20110804,,0000,정상,,070-8739-6388,30,12417,경기도 가평군 가평읍 향교로 3,경기도 가평군 가평읍 읍내리 535-2번지 ,12417,37.8293745,127.5103268,,244864.140094482    ,480885.606938411    ,동물병원,,000
가평군,대한동물병원,19991016,,0002,폐업,20031226,581-7582,0,,경기도 가평군 가평읍 가화로 48 (대곡리),경기도 가평군 가평읍 대곡리 189-1   번지,12419,37.8242335,127.5158002,,,,동물병원,,000
가평군,가평유기동물병원,20050726,,0002,폐업,20140204,585-0341,91.02,,경기도 가평군 조종면 대보간선로335번길 81 (대보리),경기도 가평군 하면 대보리 223번지,12439,37.8026488,127.3707081,,,,동물병원,,000
가평군,？평애견동물병원,20040920,,0002,폐업,20050802,,0,,경기도 가평군 청평면 청평중앙로 21 (청평리),경기도 가평군 청평면 청평리 453-1번지,12452,37.7365812,127.4172343,,236712.070743773,470547.437921581,동물병원,,000
가평군,푸른가축병원(산업동물출장진료전문병원),20090223,,0002,폐업,20171226,031-582-8012,47.25,,,경기도 가평군 가평읍 읍내리 457번지,12413,37.8300964,127.5121378,,,,동물병원,,000
고양시,풍동 라파엘 동물병원,20060912,,0000,정상,,,149,10306,"경기도 고양시 일산동구 숲속마을로 38, 아크리아 (풍동)",경기도 고양시 일산동구 풍동 1279-2번지 아크리아 ,10306,37.6672997,126.7990716,,182206.939484054    ,462797.012861507    ,동물병원,,000
고양시,서울프라임 동물병원,20140430,,0000,정상,,031-970-0075,,10503,경기도 고양시 덕양구 중앙로 628 (화정동),경기도 고양시 덕양구 화정동 1148-1번지,10503,37.6274435,126.8288713,,184825,458366,동물병원,,000
고양시,아마존,20010406,,0000,정상,,031-972-7582,0,10495,경기도 고양시 덕양구 중앙로558번길 21 (행신동),경기도 고양시 덕양구 행신동 944번지 ,10495,37.6245795,126.8358671,,185447.426056462    ,458048.974229598    ,동물병원,,000
고양시,산들동물병원,20060617,,0000,정상,,976-7585,0,10355,경기도 고양시 일산동구 고봉로 250 (중산동),경기도 고양시 일산동구 중산동 1669-4번지,10355,37.6820201,126.7784898,,180391.690541729,464405.966812253,동물병원,,000
고양시,앞선동물병원,20141212,,0000,정상,,,0,10570,경기도 고양시 덕양구 신원로1길 48 (신원동),경기도 고양시 덕양구 신원동 638-2번지 ,10570,37.6617165,126.8877810,,190033.260122384    ,462163.313299162    ,동물병원,,000
고양시,탄현 동물병원,20110126,,0000,정상,,,0,10241,"경기도 고양시 일산서구 일현로 131, 105호 (탄현동)",경기도 고양시 일산서구 탄현동 132-62 105호,10241,37.6985487186,126.7655302945,,179251.256136721    ,466268.259717089    ,동물병원,0,000
고양시,이용철동물병원,20030703,,0000,정상,,975-1475,115,10353,"경기도 고양시 일산서구 고양대로 688, 201호 (일산동)",경기도 고양시 일산서구 일산동 646-1 ,10353,37.6836565405,126.7724137723,,179854.219202599    ,464610.373864229    ,동물병원,0,000
고양시,거부기 동물병원,20100308,,0000,정상,,,0,10364,"경기도 고양시 일산동구 무궁화로 11, 한라밀라트 B동 113호 (장항동)",경기도 고양시 일산동구 장항동 742-1 한라밀라트 B동 113호,10364,37.6618944881,126.7659256092,,179292.356507914    ,462204.753197046    ,동물병원,0,000
고양시,로하스 동물병원,20090807,,0000,정상,,031-923-8271,0,10361,"경기도 고양시 일산서구 강선로 74, 강선마을8단지 (주엽동)",경기도 고양시 일산서구 주엽동 63 강선마을8단지 ,10361,37.6695112639,126.7674720555,,179335.868789335    ,463073.711845168    ,동물병원,,000
고양시,이솝동물병원,20040701,,0000,정상,,031-903-3399,0,10412,경기도 고양시 일산동구 일산로286번길 7-7 (마두동),경기도 고양시 일산동구 마두동 898-7번지 ,10412,37.6616277,126.7862125,,181071.114461288    ,462169.59585174     ,동물병원,,000
고양시,진스 종합 동물병원,20100129,,0000,정상,,,0,10413,"경기도 고양시 일산동구 노루목로 99, 호수마을5단지아파트 1층 121~122호 (장항동, 호수마을5단지아파트)",경기도 고양시 일산동구 장항동 883번지 호수마을5단지아파트 121호,10413,37.6501845,126.7761267,,180178.123632085    ,460901.421408613    ,동물병원,,000
고양시,피그만클리닉,20061010,,0000,정상,,,0,10592,"경기도 고양시 덕양구 삼송로 222, 헤리엇오피스 310호 (삼송동)",경기도 고양시 덕양구 삼송동 293 310호,10592,37.6528963832,126.8992287721,,185157.043671056    ,456801.894069148    ,동물병원,,000
고양시,가람동물병원,19961004,,0000,정상,,031-906-0976,0,10415,"경기도 고양시 일산동구 강석로 156, 강촌마을7단지 (마두동)",경기도 고양시 일산동구 마두동 796번지 강촌마을7단지 ,10415,37.6543794,126.7789583,,180429.594918348    ,461366.247981232    ,동물병원,,000
고양시,메리알 동물병원,20180517,,0000,정상,,031-816-7879,,10449,"경기도 고양시 일산동구 호수로 358-25, 동문타워II 1016호 (백석동)",경기도 고양시 일산동구 백석동 1324번지 동문타워II,10449,37.6399409,126.7859583,,181044.663767492,459762.271864032,동물병원,,000
고양시,다니엘 동물병원,20090427,,0000,정상,,908-5857,0,10416,경기도 고양시 일산동구 일산로 233 (마두동),경기도 고양시 일산동구 마두동 751-2번지 ,10416,37.6567391,126.7882099,,181247.095972619    ,461626.689826068    ,동물병원,,000
고양시,디엔씨,19970902,,0000,정상,,9780075,0,10495,"경기도 고양시 덕양구 중앙로 550, 106호 (행신동, 삼일프라자)",경기도 고양시 덕양구 행신동 950-1 106호,10495,37.6234997889,126.8362215426,,185472.544302625    ,457917.404793549    ,동물병원,,000
고양시,소망 동물병원,20160414,,0000,정상,,,,10323,"경기도 고양시 일산동구 위시티2로 13, 102호 (식사동)",경기도 고양시 일산동구 식사동 1546번지 102호,10323,37.6764934,126.8121843,,183364,463818,동물병원,,000
고양시,봄빛동물병원,20110901,,0000,정상,,031-912-9465,33,10446,경기도 고양시 일산동구 강송로87번길 8-10 (백석동),경기도 고양시 일산동구 백석동 1244-3번지 ,10446,37.6476034,126.7882929,,181252.81           ,460612.855          ,동물병원,,000
고양시,중산종합동물병원,19971011,,0000,정상,,031-976-8939,0,10340,경기도 고양시 일산서구 고봉로 299 (일산동),경기도 고양시 일산서구 일산동 555-9번지 42통5반 ,10340,37.6857927,126.7772087,,180284.985178722    ,464853.379037857    ,동물병원,,000
고양시,일산시티 동물의료센터,20131219,,0000,정상,,031-932-0085,0,10401,"경기도 고양시 일산동구 무궁화로 8-28, 삼성메르헨하우스 103호 (장항동)",경기도 고양시 일산동구 장항동 752 삼성메르헨하우스 ,10401,37.6601492727,126.7664643200,,179323.493409099    ,461999.535266359    ,동물병원,,000
고양시,통일로 동물병원,20140421,,0000,정상,,070-7720-4934,0,10285,경기도 고양시 덕양구 통일로 730 (관산동),경기도 고양시 덕양구 관산동 163-16번지 ,10285,37.6877980,126.8693064,,188408.759321739    ,465060.588027904    ,동물병원,,000
고양시,Wiz-Pet 동물병원,20150622,,0000,정상,,,0,10450,경기도 고양시 일산동구 중앙로 1036 (백석동),경기도 고양시 일산동구 백석동 1242번지 롯데아우렛 1층 ,10450,37.6431641,126.7896540,,181369.967204096    ,460117.354561195    ,동물병원,,000
고양시,위즈펫동물병원 풍산점,20170713,,0000,정상,,,0,10301,경기도 고양시 일산동구 무궁화로 237 (풍동),경기도 고양시 일산동구 중산동 1809번지,10311,37.6738193,126.7870725,,181149.682181138,463521.801944649,동물병원,,000
고양시,하노버,19980331,,0000,정상,,9193567,0,10379,"경기도 고양시 일산서구 중앙로 1470, 문촌마을 복합상가 (주엽동)",경기도 고양시 일산서구 주엽동 17 문촌마을 복합상가 ,10379,37.6725555218,126.7570325665,,178529.136791301    ,463365.623578833    ,동물병원,0,000
고양시,호수동물병원,20091209,,0000,정상,,,0,10379,"경기도 고양시 일산서구 중앙로 1470, A동 106-3호 (주엽동, 문촌마을10단지아파트)",경기도 고양시 일산서구 주엽동 17번지 문촌마을10단지아파트 A동 106-3호,10379,37.6723467,126.7573454,,178529.136791301    ,463365.623578833    ,동물병원,,000
고양시,작은 친구 동물병원,20020206,,0000,정상,,031-970-9204,22,10510,"경기도 고양시 덕양구 토당로42번길 13-15, 능곡역프라자 103호 (토당동)",경기도 고양시 덕양구 토당동 855-1번지 ,10510,37.6202780,126.8210724,,184096.842943942    ,457582.226061664    ,동물병원,,000
고양시,삼송동물의료센터,20150423,,0000,정상,,02-381-9658,25,10556,경기도 고양시 덕양구 삼송로205번길 15 (삼송동),경기도 고양시 덕양구 삼송동 61-9번지,10556,37.6543814,126.8960875,,190764.623812553,461349.442225205,동물병원,,000
고양시,일산동물의료원,20050125,,0000,정상,,031-924-7582,0,10368,경기도 고양시 일산서구 대화로 407 (대화동),경기도 고양시 일산서구 대화동 2038 ,10368,37.6824317759,126.7538266641,,178216.903499662    ,464479.377142906    ,동물병원,0,000
고양시,원당동물병원,20080904,,0000,정상,,962-6049,0,10461,"경기도 고양시 덕양구 마상로126번길 97, 3층 (주교동)",경기도 고양시 덕양구 주교동 611-9번지 ,10461,37.6564072,126.8333707,,188178.643264555    ,464969.096093174    ,동물병원,,000
고양시,해맑은 동물병원,20060608,,0000,정상,,031-924-0075,0,,"경기도 고양시 일산서구 일현로 48 203호 (탄현동,현해프라자)",경기도 고양시 일산서구 탄현동 1573-5번지 현해프라자 203호,10343,37.6912611,126.7632694,,179054.660565285,465462.149809784,동물병원,,000
고양시,사과나무 동물병원,20051014,,0000,정상,,,57,10375,경기도 고양시 일산서구 일산로 539 (일산동),경기도 고양시 일산서구 일산동 1084-3번지 가람프라자 101호,10375,37.6772424,126.7679054,,179459.928318467,463906.049359777,동물병원,,000
고양시,포근한동물병원,20150708,,0000,정상,,02-381-7963,0,10588,"경기도 고양시 덕양구 동세로 63, 103호 (삼송동, 강남프라자)",경기도 고양시 덕양구 삼송동 337-3번지 ,10588,37.6481623,126.8841760,,189713.886374199    ,460658.18720473     ,동물병원,,000
고양시,참사랑,19981001,,0000,정상,,031-975-0187,0,10333,경기도 고양시 일산동구 탄중로 324 (중산동),경기도 고양시 일산동구 중산동 1570번지 ,10333,37.6930436,126.7809850,,180618.272521887    ,465655.679680979    ,동물병원,,000
고양시,자유로 동물병원,20071213,,0000,정상,,,0,10222,"경기도 고양시 일산서구 대화로 120, 자유로프라자 (대화동)",경기도 고양시 일산서구 대화동 1450-1번지 자유로프라자 ,10222,37.6695480,126.7340737,,176474.179870173    ,463060.185042319    ,동물병원,,000
고양시,초원동물병원,20080414,,0000,정상,,,0,10371,"경기도 고양시 일산서구 일산로 589, 현대프라자 (일산동)",경기도 고양시 일산서구 일산동 1054-1번지 현대프라자 ,10371,37.6795472,126.7626043,,178994.545016244    ,464162.963343777    ,동물병원,,000
고양시,토베스트 동물병원,20060825,,0000,정상,,,0,10359,경기도 고양시 일산동구 일산로441번길 15-19 (정발산동),경기도 고양시 일산동구 정발산동 1203-7번지 ,10359,37.6723519,126.7780429,,180354.271381319    ,463360.822868556    ,동물병원,,000
고양시,Dr.dog동물의료센터,20160113,,0000,정상,,031-932-0075,0,10406,경기도 고양시 일산동구 일산로394번길 5-9 (정발산동),경기도 고양시 일산동구 정발산동 1294-5 ,10406,37.6706401792,126.7810225333,,180615.175512432    ,463159.896161075    ,동물병원,0,000
고양시,토론토 동물병원,20100810,,0000,정상,,923-7533,80,10370,경기도 고양시 일산서구 대산로212번길 8-12 (대화동),경기도 고양시 일산서구 대화동 2119-4번지 ,10370,37.6781278,126.7558527,,178398.286754325    ,464008.424241791    ,동물병원,,000
고양시,튼튼동물병원,20050628,,0000,정상,,031-811-9975,0,10449,"경기도 고양시 일산동구 일산로 38, 우림오피스텔 1층 110호 (백석동)",경기도 고양시 일산동구 백석동 1309 우림오피스텔 ,10449,37.6418538178,126.7872848107,,181155.460369535    ,459965.050429279    ,동물병원,0,000
고양시,강남동물병원,20010223,,0000,정상,,031-906-7575,0,10325,경기도 고양시 일산동구 위시티로 75 (식사동),경기도 고양시 일산동구 식사동 670-28번지 ,10325,37.6787711,126.8110676,,183267.923204545    ,464065.92071762     ,동물병원,,000
고양시,신원동물메디컬센터,20161104,,0000,정상,,02-381-0507,,10570,"경기도 고양시 덕양구 신원로1길 42, 1층 (신원동)",경기도 고양시 덕양구 신원동 638-4번지 ,10570,37.6618789767,126.8880641812,,190057.405          ,462180.26           ,동물병원,,000
고양시,올리브동물병원,20061117,,0000,정상,,031-908-7582,0,10422,"경기도 고양시 일산동구 중앙로 1130, C동 112호 (마두동, 올리브상가)",경기도 고양시 일산동구 마두동 806 올리브상가 C동 112호,10422,37.6496256078,126.7802502896,,180539.609005671    ,460835.850681465    ,동물병원,0,000
고양시,백마동물병원,20050516,,0000,정상,,,0,10417,"경기도 고양시 일산동구 일산로 212, 장항A타운 1층 (마두동)",경기도 고양시 일산동구 마두동 728-1번지 장항A타운 ,10417,37.6552376,126.7899027,,181395.717224051    ,461459.891588772    ,동물병원,,000
고양시,이창훈 동물병원,19930421,,0000,정상,,,0,10359,경기도 고양시 일산동구 무궁화로141번길 7-9 (정발산동),경기도 고양시 일산동구 정발산동 1180-3번지 ,10359,37.6693755,126.7763517,,180202.560497974    ,463031.608757602    ,동물병원,,000
고양시,일산 클래식 동물병원,20170826,,0000,정상,,031-902-1375,,10421,"경기도 고양시 일산동구 중앙로 1124, 1층 (백석동, 이마트전용관)",경기도 고양시 일산동구 백석동 1194번지,10421,37.6478809,126.7823999,,180731.148172095,460645.088503364,동물병원,,000
고양시,365 신원당 동물병원,20131004,,0000,정상,,,0,10464,"경기도 고양시 덕양구 호국로790번길 88 (성사동, 신원당동물병원)",경기도 고양시 덕양구 성사동 706-4번지 1층 365 신원당동물병원 ,10464,37.6543538,126.8403447,,185847.301970352    ,461353.37237947     ,동물병원,,000
고양시,페로페라동물병원,20160707,,0000,정상,,031-969-8586,91.86,10323,"경기도 고양시 일산동구 위시티2로11번길 16, 글라스프라자 202호 (식사동)",경기도 고양시 일산동구 식사동 1537번지 글라스프라자 202호,10323,37.6771875362,126.8123752763,,183497              ,463788              ,동물병원,,000
고양시,애니웰 동물병원,20110125,,0000,정상,,,0,10449,"경기도 고양시 일산동구 장백로 13, 성우아뜨리움오피스텔 110호 (백석동)",경기도 고양시 일산동구 백석동 1314번지 성우아뜨리움오피스텔 110호,10449,37.6398309,126.7898787,,181390.508325766    ,459748.488484544    ,동물병원,,000
고양시,쿨펫동물병원,20081204,,0000,정상,,971-7585,56.9,10500,"경기도 고양시 덕양구 화중로 66, 롯데마트 2층 (화정동)",경기도 고양시 덕양구 화정동 982번지 롯데마트 ,10500,37.6328886,126.8310678,,185024.681774615    ,458969.125315118    ,동물병원,,000
고양시,돌봄동물병원,20160307,,0000,정상,,031-911-7585,72.53,10234,경기도 고양시 일산서구 하이파크2로 42 (덕이동),경기도 고양시 일산서구 덕이동 1544번지,10234,37.6990711,126.7539350,,178235,466338,동물병원,,000
고양시,Helix ADI Center : 헬릭스 영상진단센터,20121121,,0000,정상,,031-978-7575,0,10532,"경기도 고양시 덕양구 중앙로 439, 2층 205~6호 (행신동)",경기도 고양시 덕양구 행신동 1086번지 205~6호,10532,37.6174670,126.8462355,,186358.445846762    ,457257.532079513    ,동물병원,,000
고양시,그랜드 동물병원,20050407,,0000,정상,,921-7582,0,10387,"경기도 고양시 일산서구 주엽로 134, 시대프라자 101호 (주엽동)",경기도 고양시 일산서구 주엽동 115-1 시대프라자 ,10387,37.6707056974,126.7581282251,,178593.884197265    ,463172.801035455    ,동물병원,0,000
고양시,24시 나음동물의료센터,20160616,,0000,정상,,031-906-7975,420.42,10403,"경기도 고양시 일산동구 백마로 223, 103~4호 (장항동, 현대 에뜨레보)",경기도 고양시 일산동구 장항동 852 현대 에뜨레보 103~4호,10403,37.6550432318,126.7744729433,,180031.642095533    ,461431.324488084    ,동물병원,,000
고양시,웰니스동물병원 스타필드 고양,20201223,,0000,정상,,031-5173-1487,,10595,"경기도 고양시 덕양구 고양대로 1955, 스타필드 고양 1층 1100호 (동산동)",경기도 고양시 덕양구 동산동 370 스타필드 고양 1100호,10595,37.6470962619,126.8948092677,,190715.654303376    ,560834.907896845    ,동물병원,,000
고양시,원흥동물의료센터,20170314,,0000,정상,,031-966-3328,0,10551,"경기도 고양시 덕양구 도래울로 40, 201호 (도내동, 예승골드프라자)",경기도 고양시 덕양구 도내동 1087번지 201호,10551,37.6292705089,126.8687542134,,188350.18632616     ,458565.21352114     ,동물병원,,000
고양시,해밀동물병원,20160801,,0000,정상,,0319662777,16.5,10299,경기도 고양시 일산동구 고양대로 1139 (식사동),경기도 고양시 일산동구 식사동 513-3번지,10299,37.6653813,126.8157942,,183683.30574419,462579.943672512,동물병원,,000
고양시,탑동물병원,20210316,,0000,정상,,,,10510,"경기도 고양시 덕양구 토당로 4, 103호 (토당동)",경기도 고양시 덕양구 토당동 870-5 ,10510,37.6174106969,126.8242081066,,184411.913479589    ,457246.336206171    ,동물병원,,000
고양시,민동물병원,19920128,,0000,정상,,,0,10464,경기도 고양시 덕양구 호국로 778-6 (성사동),경기도 고양시 덕양구 성사동 699-1번지,10464,37.6555184,126.8355939,,185427.687268921,461481.802160795,동물병원,,000
고양시,화정동물병원,19960330,,0000,정상,,,0,10476,경기도 고양시 덕양구 은빛로29번길 46 (화정동),경기도 고양시 덕양구 화정동 913-4번지 201호,10476,37.6399356,126.8320372,,185110.31           ,459754.585          ,동물병원,,000
고양시,헬릭스동물메디컬센터,20100524,,0000,정상,,031-978-7575,451.19,10532,경기도 고양시 덕양구 중앙로 439 (행신동),"경기도 고양시 덕양구 행신동 1086 서정프라자 1층, 2층 ",10532,37.6175351014,126.8462912478,,186358.445846762    ,457257.532079513    ,동물병원,0,000
고양시,Dr. dog 동물영상의료센터,20030613,,0000,정상,,932-0075~6,104.8,10406,경기도 고양시 일산동구 일산로394번길 5-11 (정발산동),경기도 고양시 일산동구 정발산동 1294-4 ,10406,37.6707044430,126.7812146784,,180629.358181067    ,463166.489098148    ,동물병원,0,000
고양시,쿨펫동물병원 킨텍스점,20150616,,0000,정상,,,,10390,"경기도 고양시 일산서구 킨텍스로 171 (대화동, 이마트킨텍스점)",경기도 고양시 일산서구 대화동 2703번지,10390,37.6614886,126.7440193,,177349.707402843,462162.606173795,동물병원,,000
고양시,위시티 동물병원,20110408,,0000,정상,,031-969-9369,0,,,경기도 고양시 일산동구 식사동 344번지 자이주상복합아파트 상가 B동 211-1호,,37.6809381,126.8139867,,183525.662174152,464305.832707082,동물병원,,000
고양시,수 동물병원,20101008,,0000,정상,,031-900-8875,0,10401,"경기도 고양시 일산동구 호수로 662, 삼성라끄빌 101호 (장항동)",경기도 고양시 일산동구 장항동 751번지 삼성라끄빌 ,10401,37.6608223,126.7656566,,179257.261374439    ,462085.127524612    ,동물병원,,000
고양시,펫스티벌 동물병원,20170926,,0000,정상,,070-4337-5967,0,10319,경기도 고양시 일산동구 고양대로 885 (풍동),경기도 고양시 일산동구 풍동 660-3번지 ,10319,37.6790208492,126.7936776896,,181734.433427662    ,464096.590166562    ,동물병원,,000
고양시,조이동물병원 제니스점,20151230,,0000,정상,,031-925-1175,0,10242,"경기도 고양시 일산서구 일현로 97-11 (탄현동, 일산 위브더제니스)",경기도 고양시 일산서구 탄현동 1640번지 일산위브더제니스수퀘어 159 160호,10242,37.6940982,126.7628408,,179005.665068939    ,465786.029740427    ,동물병원,,000
고양시,시민종합동물병원,19950623,,0000,정상,,911-7346,0,10375,경기도 고양시 일산서구 대산로 126 (주엽동),경기도 고양시 일산서구 주엽동 31-1번지,10375,37.6746843,126.7637081,,179089.635,463622.125,동물병원,,000
고양시,펫스마일동물병원,20091119,,0000,정상,,919-7582,0,10377,경기도 고양시 일산서구 일산로741번길 5-1 (대화동),경기도 고양시 일산서구 대화동 2194-4번지 ,10377,37.6770723,126.7509592,,177965.47394576     ,463890.033395643    ,동물병원,,000
고양시,현대동물병원,20181121,,0000,정상,,,0,10339,"경기도 고양시 일산서구 고봉로 317, 1층 (일산동)",경기도 고양시 일산서구 일산동 573번지 ,10339,37.6874592,126.7770450,,180268.401484211    ,465036.886425374    ,동물병원,,000
고양시,펫앤유 24시 동물병원,20170330,,0000,정상,,031-962-8274,0,10264,경기도 고양시 덕양구 통일로 1128 (내유동),경기도 고양시 덕양구 내유동 431-9번지,10264,37.7149313,126.8513950,,186831.959285029,468074.823296931,동물병원,,000
고양시,경서동물병원,20151104,,0000,정상,,02-3158-0734,,10538,경기도 고양시 덕양구 중앙로 136 (화전동),경기도 고양시 덕양구 화전동 219-14번지,10538,37.6006961,126.8728368,,188707.207705428,455391.523547416,동물병원,,000
고양시,해오름 동물병원,20090504,,0000,정상,,818-6543,0,10462,"경기도 고양시 덕양구 호국로 821, 101호 (주교동)",경기도 고양시 덕양구 주교동 621-3번지 101호,10462,37.6588561,126.8384876,,185684.468962019    ,461852.567831753    ,동물병원,,000
고양시,FM 동물메디컬센터,20170307,,0000,정상,,031-979-7975,0,10500,"경기도 고양시 덕양구 화중로 76, 102,103호 (화정동, 대감빌딩)",경기도 고양시 덕양구 화정동 970-1 대감빌딩 ,10500,37.6339354950,126.8311306207,,185023.143470242    ,459077.395478509    ,동물병원,0,000
고양시,삼송동물병원,20150102,,0000,정상,,,,10590,경기도 고양시 덕양구 삼송로 154-1 (삼송동),경기도 고양시 덕양구 삼송동 135-51번지,10590,37.6524937,126.8910022,,190316.65224486,461138.786555805,동물병원,,000
고양시,고양시 동물보호센터,20140512,,0000,정상,,031-962-3232,352.54,10563,"경기도 고양시 덕양구 고양대로 1695, 고양시 농업기술센터 (원흥동)",경기도 고양시 덕양구 원흥동 471-10 고양시 농업기술센터 ,10563,37.6497789908,126.8700863528,,188471              ,460828              ,동물병원,,O00
고양시,워리워리,20021028,,0000,정상,,,0,10370,경기도 고양시 일산서구 일산로635번길 8-21 (대화동),경기도 고양시 일산서구 대화동 2107-18번지 24통8반 2층 ,10370,37.6816531,126.7570994,,178507.651738435    ,464398.644179412    ,동물병원,,000
고양시,삼송사랑 동물의료센터,20150501,,0000,정상,,02-388-8275,157,10589,"경기도 고양시 덕양구 삼송로 92 (삼송동, 우영프라자 2층)",경기도 고양시 덕양구 삼송동 326-2번지 우영프라자 2층,10589,37.6507482,126.8843078,,189725.610141478,460945.494810783,동물병원,,000
고양시,더바름동물병원,20200407,,0000,정상,,02-6953-7515,0,10546,"경기도 고양시 덕양구 향기로 56, 스카이타워 1층 101호 (향동동)",경기도 고양시 덕양구 향동동 563번지 ,10546,,,,,,동물병원,,000
고양시,탑동물병원,20210420,,0000,정상,,,,10510,"경기도 고양시 덕양구 토당로 4, 103호 (토당동)",경기도 고양시 덕양구 토당동 870-5 ,10510,37.6174106969,126.8242081066,,184411.913479589    ,457246.336206171    ,동물병원,,000
고양시,닥터서동물심장병원,20220504,,0000,정상,,031-994-7953,209.77,10394,"경기도 고양시 일산동구 태극로 11, 일산 한류월드 유보라 더 스마트 234,235,236호 (장항동)",경기도 고양시 일산동구 장항동 1758-1 일산 한류월드 유보라 더 스마트 ,10394,37.6635042264,126.7510116068,,177997.524143115    ,462337.940572527    ,동물병원,0,000
고양시,소노펫 동물병원,20200708,,0000,정상,,031-927-5140,0,10394,"경기도 고양시 일산동구 태극로 18, 소노캄고양웨스트타워 2층 (장항동)",경기도 고양시 일산동구 장항동 1755 소노캄고양웨스트타워 ,10394,37.6625616531,126.7501934137,,177899.003115642    ,462275.537979953    ,동물병원,0,L00
고양시,새로이동물병원,20210624,,0000,정상,,031-907-7579,0,10449,"경기도 고양시 일산동구 호수로 340-25, 동문굿모닝힐II 111호 (백석동)",경기도 고양시 일산동구 백석동 1320 동문굿모닝힐II ,10449,37.6388182315,126.7875971678,,181196.280524901    ,459636.807109425    ,동물병원,,000
고양시,서울하은동물병원,20210304,,0000,정상,,02-6951-0275,0,10545,"경기도 고양시 덕양구 꽃내음1길 128, 101호 (향동동)",경기도 고양시 덕양구 향동동 489-11 ,10545,37.5998867006,126.8900147913,,,,동물병원,,000
